Year,Layer,Historical Recovery,Exposure Factor to 2010,2010 Exposure-Adjusted Recovery
2006,100k xs 50k,1743640.49,1.220670661905563,2128410.79105364
2006,250k xs 100k,2099922.56,1.220670661905563,2563313.8612656244
2006,500k xs 250k,2596424.43,1.220670661905563,3169379.127555874
2007,100k xs 50k,2649415.75,1.140361298324034,3021291.1844701446
2007,250k xs 100k,3309959.27,1.140361298324034,3774549.4505368723
2007,500k xs 250k,3372426.89,1.140361298324034,3845785.106783285
2008,100k xs 50k,1957311.77,1.091894877760301,2137178.6958429483
2008,250k xs 100k,1934451.88,1.091894877760301,2112218.099045784
2008,500k xs 250k,1797547.0499999998,1.091894877760301,1962732.4164281394
2009,100k xs 50k,1998114.0500000003,1.0201338985937967,2038343.8756615405
2009,250k xs 100k,2374875.7199999997,1.0201338985937967,2422691.2269193497
2009,500k xs 250k,1554870.74,1.0201338985937967,1586176.3498056217
2010,100k xs 50k,4332988.82,1.0,4332988.82
2010,250k xs 100k,4418049.029999999,1.0,4418049.029999999
2010,500k xs 250k,3807480.4699999997,1.0,3807480.4699999997
