Attachment,Limit,Expected Recovery,Standard Deviation,Coefficient of Variation,Technical Premium
50000,100000,2779058.260815488,739873.6347412156,0.2662317826054164,3102979.5825415663
50000,250000,4507122.638868393,1281368.7073075383,0.2842986113262834,5052820.947638698
50000,500000,5972308.306768834,1831570.8890043027,0.3066772167351869,6728816.444358351
50000,1000000,7482161.585610388,2539414.621363847,0.3393958540333614,8491123.32023187
100000,100000,1749443.0304259453,529046.7223573554,0.302408659874192,1969176.8625365815
100000,250000,3132096.0560974567,1012293.4460999683,0.3232000002456088,3541774.2204273217
100000,500000,4426349.158235944,1543747.4353102574,0.34876314093700983,5033603.474975306
100000,1000000,5836219.579713291,2255331.834984597,0.3864371112464881,6691863.517445104
250000,100000,827003.9106655944,327030.6541271593,0.395440275323434,950111.769730664
250000,250000,1687505.7541502502,702126.9666187069,0.4160738207214384,1947412.7835124396
250000,500000,2645707.978452568,1174879.685144106,0.4440700541075112,3071713.298661223
250000,1000000,3822974.6953825857,1857994.3141502147,0.4860074842750889,4478622.008689269
500000,100000,433751.2586538311,224501.93159389743,0.5175822020451318,511564.30448499706
500000,250000,958202.2243023175,514105.65801832225,0.5365314804947889,1134638.750022014
500000,500000,1624973.8885854224,915352.7241863804,0.5633030355849079,1935060.7640612887
500000,1000000,2548178.9247500785,1540294.4772714982,0.6044687295349827,3060661.4903054573
